04	11	21	SVMI	025	7731580
01	12	03	SVMI	025	2351213
01	23	40	SEQM	025	3390045
01	12	08	LATI	025	0136386
12	17	21	OAKB	025	7428690
01	14	27	SKBO	025	6060249
12	07	28	OERK	025	0023575
12	19	38	OJAI	025	9956456
12	11	23	UBBB	025	4032442
24	11	38	UBBB	025	0478595
12	01	39	LDZA	025	8290698
12	20	34	LBSF	025	8648692
24	17	44	LKPR	025	8368789
04	06	08	SBBR	025	6969956
12	19	19	OERK	025	1457728
24	05	54	SGAS	025	4881166
24	19	32	SBBR	025	2612490
24	13	39	SPIM	009	3460644
04	04	06	SLLP	009	4859124
24	10	16	OSDI	009	5361899
12	06	29	OOMS	009	0733629
12	10	09	UBBB	009	0055395
01	17	41	EHAM	009	8330811
12	16	51	EBCI	009	1116040
24	11	37	EHAM	009	5709571
24	17	45	EDDI	009	8853793
24	03	33	SGAS	009	6381734
24	02	39	LOWW	009	2371200
01	23	05	UMMS	009	0593446
01	22	10	LBSF	009	4220771
12	01	53	LDZA	009	5620908
01	09	06	SUAA	009	7423829
12	17	30	OMDB	009	3332162
24	13	06	EKCH	009	6426838
04	02	29	EHAM	009	6596893
01	04	22	SBBR	009	7206925
24	12	33	UBBB	009	9546633
12	14	39	OYSN	009	0465861
24	12	10	OMDB	009	1609576
24	22	48	UMMS	009	4121031
12	01	31	LDZA	009	7565101
12	10	58	SBBR	009	1882123
24	19	14	SKBO	009	3371639
12	12	49	OSDI	009	2379060
24	14	25	SCEL	009	7382147
01	01	02	SGAS	009	8777785
04	07	18	SKBO	167	6554295
01	21	37	SBBR	009	6845913
12	22	08	EDDI	009	3044503
12	05	41	SUAA	009	8428682
12	06	28	OERK	009	9092872
04	20	46	SGAS	009	6620044
24	13	59	SVMI	009	9592076
01	15	47	OYSN	009	5171566
04	05	12	SABE	097	7390165
01	21	36	EHAM	066	3565521
01	07	13	SUAA	009	8750940
12	17	39	SPIM	009	0468289
04	05	31	SVMI	009	6794873
12	08	17	SCEL	009	3923801
01	17	40	OJAI	009	5947464
24	13	01	SKBO	009	5087884
12	04	02	SVMI	009	4451843
24	20	11	OSDI	011	7241207
24	16	49	SBBR	009	1987428
24	17	30	OERK	009	6410044
12	09	24	LDZA	009	2680289
24	08	53	SVMI	009	1051762
12	14	10	SUAA	009	1942024
24	07	52	OSDI	009	8545300
24	13	53	OPKC	009	1934258
24	04	28	EBCI	009	1432421
04	19	15	OSDI	009	9276145
01	20	40	EKCH	009	1667423
12	11	16	VIDP	091	0354692
01	23	16	LKPR	009	8160103
24	08	26	OYSN	009	8407843
24	12	40	OJAI	009	8346693
